video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
FHdtOtznWuA,B,v9,0,0,0,1,3975,1,9,5,0,,v9_confirmado
FmhL2334GIY,A,,0,0,0,0,0,0,0,0,0,,v9_probable
fOgb0Es-lVs,A,,0,0,0,1,4926,1,8,8,0,,v9_probable
fppIOuRMI2g,B,v9,0,0,0,1,3635,1,7,6,0,,v9_confirmado
FqCs3BD6qvo,B,v9,0,0,0,1,4267,1,9,7,0,,v9_confirmado
fRv8sOUyhZw,B,v9,0,0,0,1,5261,1,10,11,0,,v9_confirmado
fSV0u48sEVg,A,,0,0,0,1,5452,1,7,12,0,,v9_probable
ftIdBG-UgFY,A,,0,0,0,1,3615,1,8,4,0,,v9_probable
fTxvwVj02P0,A,,0,0,0,1,4679,1,8,7,0,,v9_probable
G07keU4g-LU,A,,0,0,0,0,0,0,0,0,0,,v9_probable
G5tNCpmD2uQ,A,,0,0,0,0,0,0,0,0,0,,v9_probable
gcgtLDB0cKA,A,,0,0,0,1,6716,1,13,12,0,,v9_probable
Gds8hl8dKuo,A,,0,0,0,0,0,0,0,0,0,,v9_probable
GJ1So_pbZWk,A,,0,0,0,0,0,0,0,0,0,,v9_probable
GoziWpmFCS0,A,,0,0,0,0,0,0,0,0,0,,v9_probable
gpWR5JBC64A,A,,0,0,0,1,4356,1,9,7,0,,v9_probable
gu54VVeDD10,A,,0,0,0,1,5574,1,10,11,0,,v9_probable
GxjMSvwcgvw,A,,0,0,0,0,0,0,0,0,0,,v9_probable
H0uHctrx82Q,B,v9,0,0,0,1,5676,1,13,11,0,,v9_confirmado
H2fOkeXxpyw,A,,0,0,0,0,0,0,0,0,0,,v9_probable
H_S7CxtHgSM,A,,0,0,0,0,0,0,0,0,0,,v9_probable
hbz63Ve-eIY,A,,0,0,0,1,3684,1,6,5,0,,v9_probable
HcmEFZukA-Y,A,,0,0,0,0,0,0,0,0,0,,v9_probable
hf9nMAG9XoU,A,,0,0,0,1,4642,1,7,7,0,,v9_probable
hFx0EF9KEZU,A,,0,0,0,1,6857,1,15,13,0,,v9_probable
